arch,seed,mse_tr,mae_tr,acc_tr,prec_tr,rec_tr,f1_tr,mse_va,mae_va,acc_va,prec_va,rec_va,f1_va
100_80_40_20_latent_20,73,0.00354574853554368,0.03389502316713333,0.9947741985804539,0.994824527131319,0.9947741985804539,0.9947780227668676,0.003691125428304076,0.03458971157670021,0.9656893325015595,0.9661522805500505,0.9656893325015595,0.9657268291039435
100_80_40_20_latent_20,456,0.0037860916927456856,0.03576143458485603,0.9982060681694096,0.9982117211154659,0.9982060681694096,0.9982063329378207,0.004059640225023031,0.036630723625421524,0.9669369931378665,0.9671778501411088,0.9669369931378665,0.9669341693211451
100_80_40_20_latent_20,5,0.003786796238273382,0.03665430098772049,0.9984400592777475,0.99844703729372,0.9984400592777475,0.998440444113606,0.004067679401487112,0.03757397457957268,0.9678727386150967,0.9680305235184994,0.9678727386150967,0.9678611590098815
100_80_40_20_latent_20,102,0.0038885341491550207,0.037088051438331604,0.9925902815693004,0.9926480451477164,0.9925902815693004,0.9925708306449508,0.004143259953707457,0.038197293877601624,0.958203368683718,0.9587647449328017,0.958203368683718,0.9581743624996981
100_80_40_20_latent_20,137,0.004103032872080803,0.03764333575963974,0.9978160829888464,0.9978246453237156,0.9978160829888464,0.9978162725245833,0.004418110940605402,0.03874810412526131,0.9706799750467873,0.9712174216442001,0.9706799750467873,0.9707407159812411
100_80_40_20_latent_20,42,0.004737869370728731,0.04142746329307556,0.9991420326027611,0.9991439888038419,0.9991420326027611,0.9991421262810327,0.0050101811066269875,0.04239565134048462,0.958203368683718,0.9583317606116676,0.958203368683718,0.958215327160462
100_80_40_20_latent_20,789,0.0046699391677975655,0.04119756817817688,0.9963341393027065,0.9963530880968355,0.9963341393027065,0.9963331621195473,0.005021379794925451,0.04220383241772652,0.9647535870243293,0.9650984613088068,0.9647535870243293,0.9647135227183573
100_80_40_20_latent_20,999,0.004733358509838581,0.04171014204621315,0.9985960533499727,0.9985980799112009,0.9985960533499727,0.9985962055655031,0.005100145470350981,0.042838212102651596,0.9656893325015595,0.9657370168527591,0.9656893325015595,0.9656929831212756
100_80_40_20_latent_20,123,0.004833675920963287,0.04215354099869728,0.99851805631386,0.9985189153220007,0.99851805631386,0.998518158646764,0.00517645850777626,0.04324357956647873,0.9700561447286338,0.9700626984575955,0.9700561447286338,0.9700586707461063
100_80_40_20_latent_20,10,0.005749072413891554,0.0461919903755188,0.9941502222915529,0.9941975216056672,0.9941502222915529,0.9941490755658176,0.006066789850592613,0.047074317932128906,0.9656893325015595,0.9660183385657629,0.9656893325015595,0.9656874783986049
